reduction_method,clustering_method,run_id,timestamp,run_type,params,output,notes
tsne,kmeans,s1.1_p30,24-07-26 12:45,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/kmeans/tuning/24-07_s1.1_p30,"tsne (perplexity=30, valore da paper Thiebaut de Schotten 2020, nessun tuning) + all 5 clustering methods, voxel-wise matrix"
tsne,agglomerative,s1.1_p30,24-07-26 12:45,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/agglomerative/tuning/24-07_s1.1_p30,"tsne (perplexity=30, valore da paper Thiebaut de Schotten 2020, nessun tuning) + all 5 clustering methods, voxel-wise matrix"
tsne,gmm,s1.1_p30,24-07-26 12:45,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/gmm/tuning/24-07_s1.1_p30,"tsne (perplexity=30, valore da paper Thiebaut de Schotten 2020, nessun tuning) + all 5 clustering methods, voxel-wise matrix"
tsne,dbscan,s1.1_p30,24-07-26 12:45,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/tsne/dbscan/tuning/24-07_s1.1_p30,"tsne (perplexity=30, valore da paper Thiebaut de Schotten 2020, nessun tuning) + all 5 clustering methods, voxel-wise matrix"
tsne,spectral,s1.1_p30,24-07-26 12:45,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/spectral/tuning/24-07_s1.1_p30,"tsne (perplexity=30, valore da paper Thiebaut de Schotten 2020, nessun tuning) + all 5 clustering methods, voxel-wise matrix"
tsne,kmeans,s1.1_p30,24-07-26 16:53,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/kmeans/tuning/24-07_s1.1_p30,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
tsne,agglomerative,s1.1_p30,24-07-26 16:53,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/agglomerative/tuning/24-07_s1.1_p30,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
tsne,gmm,s1.1_p30,24-07-26 16:53,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/gmm/tuning/24-07_s1.1_p30,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
tsne,dbscan,s1.1_p30,24-07-26 16:53,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/tsne/dbscan/tuning/24-07_s1.1_p30,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
tsne,kmeans,s1.1_p30,24-07-26 17:37,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/kmeans/tuning/24-07_s1.1_p30,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
tsne,agglomerative,s1.1_p30,24-07-26 17:37,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/agglomerative/tuning/24-07_s1.1_p30,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
tsne,gmm,s1.1_p30,24-07-26 17:37,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/gmm/tuning/24-07_s1.1_p30,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
tsne,dbscan,s1.1_p30,24-07-26 17:37,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/tsne/dbscan/tuning/24-07_s1.1_p30,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
tsne,spectral,s1.1_p30,24-07-26 17:37,tuning,"{""reduction_params"": {""n_components"": 2, ""perplexity"": 30, ""early_exaggeration"": 12, ""learning_rate"": 200, ""max_iter"": 1000, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/tsne/spectral/tuning/24-07_s1.1_p30,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
